No.,English gloss,Amharic gloss,Maiyu,Fadashi,Undulu,Beleje Gonfoye
1,hand,እጅ,θabá,θabá,θabá,la:bá
2,arm,እጅ,bʊʷa,beː tuká,biʲé,biʲé
3,alive,በሕይወት,siː θaːre,siː θaːre,hiːʔiya,(mba) si lːaré
4,spider,ሸረሪት,abarəbɛd,abarabɛt,bəmːbɛt,abarabɛti
5,caterpillar,ኣባጨጓሬ,abɔbɔne,abɔbɔne,áːbɔbɔʔí,ababɔʔi
6,navel,እንብርት,abuldu,korombo,ágórómbo,abulːu
7,butterfly,ቢራቢሮ,abúrbúdu,aburbudu,abúrbúdu,aburbudu
8,be sorry,አዘነ,ʃúnga -áŋ,hoseʲu,adːagoʃ gáŋ,nɛ dʒɛrɪbɪs
9,lung,ሳንባ,afaɲfaras’,anfanforos’,áːwáwórés’,awawardʒi
10,fence,አጥር,agoŋgór,abɪliʲa,agoŋhór,aːmaʲé
11,thief,ሌባ,agɔrθé,agorá,agorθa,agora
12,pumpkin,ዱባ,aːgu,agó,agóʔ,aʔgó
13,brother,ወንድም,agudi,agúdí,agúdíʔ,agudiʔo
14,sell,ሸጠ,ʃibila alú,ɛlenelo,afíːjálu,ɛlenolo
15,be tired,ደከመ,ʃílí,shɪle,aʃílé,ʃile / asɪle
16,wealth,ሃብት,ʃimbil,ʃɪmbil,nda ʃimbilu,dʒidɛne
17,"too, also, again, furthermore",ደግሞ,ʃíŋ,le ali / ʃíɲ,dókole,mɪsi / tɛkolalɪ jali
18,breakfast,ቁርስ,al fat’úr,fɛdari,áːsúːndu,awotʃo ndu
19,elephant,ዝሆን,"al fîl, ɔŋ",mɛdege,alfîl,metɪkeː
20,Thursday,ሐሙሰ,al hamís,alhamís,alhamís,laːri kəmɪso
21,"be spoiled, rotten",በሰበሰ,s’ʊwí,suːwaʔi,rohé,t͡ʃ’uwé
22,"whirlwind, dirt devil",አዉለንፋስ,ʃɛbaro,ʃɛboro,adurdur,awːulé
23,prayer and worship,ጸሎትና አምልኮ,"al ʔibáda, aːsɛla",aːsɛla,aːsɛlaʔ,wɛgɛra
24,paper,ወረቀት,al wárga,alwarəga,alfaraga,dodo be
25,mother,የእኔ እናት,amːá,amːá,áːʔó,dadi
26,send,ላክ,agɛna,̄nɛbenːa,hɛ́ːbena,jebɛne
27,"imprison, tie up",ቀጣ,"sɛ́gɛna, ɗɔːʃa",ɗoːʃa,ɗóːʃɛfa,ɗosɛne
28,tasty,ጣፍጧል,s’ɛbí,s’oːbí,nɛgɛnɛge,tʃ’oɓɛneʲa
29,darken,አጨለመ,ámilu aŋ,aːmíle,amːbúwé,aŋʲa milowe
30,dry season,በጋ,amɔːzó,aːmoːsó,aiyedʒɛlu,la mundʒoʷ
31,sister-in-law,የሚስት እህት (ምራት),amʊ́dudú,máːʃí,máːʃí,mːbá maːsí
32,maize,በቆሎ,amʊ́lːé,sil bɛgaru,sɛrábu,laː ɲiɲdolo
33,chicks,ጫጩት,p’íːpíʲó,bibiyo / mise guːle,mɪseʔ biːle,ɓiɓiʲo
34,open,ከፈተ,pʊːdá,ɓʊːdá,ɓuːdaː,ɓudɛne
35,"tell, make known",ነገረ,p’ulá,"ɓula, doːra",θórógáː,ɓuleʲane
36,health,ጤና,bus’k’é gɔɗa,eːgoːɗa,góːɗé,goɗe
37,"pound smooth, grind fine",ደቀቀ,rígis’iŋa,rɛgis’e,díːsɛfaʔ,silːɪne
38,eye,አይን,are,are / areʔolo,aroʔóló,aré
39,forehead,ግንባር,are gundi,are gundi,are gundi,are gundi
40,tomorrow,ነገ,asːəbá,mɛnɗaʃi,"menɗɛʃí, mendʒɛf",uːʷé
41,termite hill,ኩይሳ (የምስጥ ቤት),p’agú,ɓaŋgó,ɓaŋgó,"ʃuli moro, ɓaŋgó"
42,"cultivate, plough",አርሰ,p’áːla,ɓaːle,ɓáːle,ɓáːle
43,"keep away, block",ከለከለ፣አራቀ,p’aːra -ʔi,məriɛne,məriɛne,aʔurwaːne
44,stand,ቆመ,p’eːla,ɓeːlé,,ɓíːló
45,"post, pillar",ምሰሶ,aʃíːba,"guɗuba, aʃiːba, ʃɪleli",gúɗúbí,abiliʲo
46,turn around,ዞረ,áʃɪmbriŋa,ʃɪmbira,"bɛrʃiŋá, agiʃiŋgɛríŋ",ɗakʷoaʔe
47,shadow,ጥላ,aʃirɪ́ŋk’íθ,"aːʃoré, aŋgɪʃir",aːʃorén,asórí
48,"mouth, language",ኣፍ,ndu,ndu,ndu,ndu
49,lips,ከንፈር,ndu ʃɛfa,ndu ʃɛfaʔ,ndu ʃɛfaʔ,ndu ʃɛwa
50,sleep,እንቅልፍ,nɛndígi,nɛndɛgi,əndɪ́ge,nɛdigi
51,half,,anːus,aːs’oma,aːkiθowaʔ,bebɛlolo
52,fly (v),በረረ,bədá,bədé,bədé,buːne
53,be hot,ሞቀ,bɛɗí,bɛɗi,bɛɗí,bəɗi
54,be sick,ታመመ,bɛɗí,sukuliŋe,sukuθiŋe,t͡ʃ’uleʔe
55,be strong,ጠንካራ,p’áɗiʔí,ɓəɗiʔi,ɓə́ɗiʔé,ɓaɗolo
56,"hide, conceal",ተደበቀ,bəná,bone,ɓóːkoló,ɓəŋoʔe
57,catch,ያዘ,múːfa,mːoːne,múːfo,mʷɔːne
58,be red,ቀይ ሆነ,bɪɲɛní,bɪni,bɛní,bɛɲi
59,"stop, prohibit",አታድርግ፣ቆመ,bəká,beːká,ari,biːlaʔo
60,enough!,በቃ!,bəka,koːɗe,ɲéːʃe,kóːɗé
61,sweet,ጣፈጠ,mɛnɛ́mɛɲɪní,menémeniɲi,nɛkɪnɛki,nɛnɛmɛnmeʔi
62,women,ሴቶች,míːhi,mehi,?,waː meʲile
63,wives,ሚስቶች,miːhi,mehi,mɪhi,waː ɓodole
64,snore,ኣንኮራፋ,bɔŋgóri,haroɗi,goróɗi,ɲarɗoɗe
65,frog,እንቁራሪት,bɔñɔ́ʃ,boŋoʃ,boŋkóʃ,koŋosi
66,"insult, offend",ሰደበ,bɔʃa,bóʃa,bóːʃa,bosa
67,return,ተመለሰ፣ሄደ,maθá,moliaʔi,mɛθóʔilo,nolaʔolo
68,rainbow,ቀስተዳመና,məzəlo,mozol,mogól,amuʷgaʔo
69,evening,ምሽት,mbə́ giʃú,giːgije,maː͡dʒíhe,aːbule
70,theirs,የእነሱ,mbə́ máre,mbəmare,mbə́máre,mbəmaré
71,yours (pl),የእናንተ,mbə́ ŋgáma,mbəma,mbúma,mbəma
72,be/become wet,ራሰ፣ረጠበ,p’ʊ́s’í,ɓus’i,ɓús’í,ɓutʃ’i
73,uncle,,,bobo gwalé,,boːbo agudane
74,body,ሰውነት,bʊsk’e,bus’ike,bɪsk’e,bɪsɪk’e
75,give (it),ሰጠ,daː,ndɛne,ndɪné,ndɛnːe
76,fat (n.),ጮማ,mək’ɔʃ,mək’oʃ,mok’oʃ,k’oːsi
77,"other, another",ሌላ,mánañ,maːmaŋ,mɓɪɗiŋgu,mbə siʲe
78,dawn,ንጋት,mans’aré,ansaːre,men͡dʒɛf,antʃ’ɛre
79,father,,abbá,abːa,aːb͡aiyó,boːbo
80,be dirty,ቆሸሸ,diɗí,diːde,bɛlɛsí,diːɗolo
81,rope,ገመድ,"diːŋí, mʊrθa",maːrá,marθá,deːɲi
82,teacher,አስተማሪ,maːbə́ gɛrəŋí,nda gɛraʔi,ndá gɛraʔí,mba amotiʷa are
83,farmer,ገበሬ,maːbá p’áːlí,nda ɓálí,ndá ɓɛ́lí,mba ɓəli
84,"sew, mend",ሰፋ,gɔrá,korá,goráfa,gorá(ne)
85,yesterday,,dʒíːdí,gíːjé,gɪfé,maːgiːʲe
86,jump,ዘለለ,gʊ́da,gúːɗɛ,ho:ré,hóɾé
87,baboon,ዝንጀሮ,dʊ́ʷosh,duʔaʃ,tóːʃ,doːʃi
88,"be different, differ",ተለየ,ɗɛfəru,faːra gundi,dɛgasu úlú,aʔteʲʔe
89,day before yesterday,ከትላንት ወዲያ,dʒíːdímáŋ,giːʲa menːdo,mːóːsɛle,uʔweː duɲku
90,today,,ʃɛkɔŋ,hosʃoɗaŋ,təkːolé,toʷkulalo
91,grow,አደገ,ɗáːŋa,ɗuɲé,ɗúɲé,ɗuːɲe
92,be cold,ቀዘቀዘ,ɗɛʃí,ɗaːʃé,ɗaʃé,ɗaːse
93,ask,ጠየቀ,ɗɔk’ɔθa,ɗokoθa,dukuθa,dokolɛne
94,"sit, sit down",ተቀመጠ,ɗɔŋɔ́ʃa,ɗoŋoʃa,ʃəŋóːθa,ɗoŋose
95,be short,አጠረ,ɗʊ́gurí,tʃ’ɪdɛri,dʒidɛri,k’ideɾe
96,smoke (n.),ጭስ,ɗʊːθa,ɗoːθa,ɗuːθa,ɗuːla
97,judge (v.),ፈረደ,fə́rada,"fárada, haga mofa",haga mofa,ne k’ilogɛ nɛne
98,"proud, conceited",ኩራተኛ,,ʃoːfaʔi,kiθ kɛné,hoɓəde
99,oil,ዘይት,k’ɔʃ,k’oʃ,k’oʃ,k’oɾi
100,boat,መርከብ,k’urfe,k’urfe,bidɛru,
101,again,ኣንደገና,fíʃ,moːθeju / fiʃ,mɪʃiŋ́̊,ŋolalolo
102,money,ገንዘብ,fʊːda,hoːda,birɗi,sɪmbɪli
103,rabbit,ጥንቸል,fʊ́ːfúr,hóːhór,fúːfúr,aːʷoːɾi
104,before (time),በፊት,gə́bʊl,ɓəɗé,ɓɛɗé,lara gundi
105,bamboo,ቀርከሀ,kaːgú,kaːgú,gaːgú,kaːgu
106,be green,አረንጓዴ ሆነ,gɛlasí,galasí,galazí,mbə gɛgɛdəkɛdi
107,dew,ጤዛ,gas’iʲa,gas’ia,gas’ia,k’ɛtʃ’iʲa
108,"greet, visit",ሰላም አለ,geːra,gɛːra,gɛːré,gera
109,one day,,jom,muːzeju manenku,munzóː munenko,le mʷoɲʃo
110,or,ወይም,wɛlːa,wɛ́lːa,wɛ́lːa,mbeːʔe
111,fish,አሳ,yəguθ,nɛgú,aːmondín,nəgu
112,riddle,እንቆቅልሽ,dʒín daːlíʲa,gíndaːlía,gíndaalía,aːoːɾi
113,"problem, disturbance",ችግር,"dʒín húshi, rɔθa siː",rora síʔí,θora síʔí,sɛɾi
114,"small, little",ትንሽ,k’ɔs’í,"nengwalé, k’osí",gwa léːʃo,bɛbilolo
115,"spine, back",ጀራባ፣አከርካሪ,gʊndi,gundi,guːndó,gundi
116,"behind, (in the) back of",ከጀርባ፣ከኋላ,ma gundi,ma gundi,gundi,ma gundu
117,tail,ጅራት,abaro,abɛre,abɛre,abare
118,shepherd,እረኛ,haːʃi,haːʃe,həːnʃe,haːse
119,tree,ዛፍ,s’ɪs’íʲa,ɪŋgolé,oŋgolé,ɪŋgóle
120,wood,እንጨት,s’ɪs’iʲa hɔʃɛli,ɪŋgolé holɛfa,oŋgolé hoʃɛle,ɪŋgóle hosale
121,"mourn, cry",አለቀሰ,"hɔna, biːʲe",ɓaːʲe,biːʲe,biːʲe
122,be dry,ደረቀ,hɔʃəla,hoʃɛle,hoʃala,hosalé
123,egg,እንቁላል,húhúlú,hólú,hóːhólú,hoːholo
124,moon,,sɪgi,sigi,zigi,dʒigi
125,play,ተጫወተ,íːla,iʔile,ííla,iːle
126,star,ኮከብ,íís’u,íːs’u,íːs’u,bəruru
127,week,ሳምንት,ɪzbu,ador,θabaholeyu minːegu,uːwé dunk’u
128,"always, daily",ቀን በ ቀን,mufaiʲo tʃ’ílːíŋ,muje muje,,li mundʒu li mundʒu
129,blood,ደም,k’áfa,k’afa,k’áfaŋ,k’awa
130,be bitter,መራራ,k’əs’í,k’as’i,,bɛ k’adʒi
131,laugh,ሳቀ,k’ééda,keːde,͡tʃɛ́ːdi,k’eːte
132,"eat, chew meat",በላ,k’ɔ́la,k’ola,k’óla,k’ola
133,whistle,አፏጨ,fens’iŋa,fɛnsiŋa,fɛnteŋí,wɛnteɲe
134,dream,አለመ,féʃa,are feːsi,fɛ́ʃi,ar͡ai uwesi
135,village,መንደር,láŋk’a,adar,héːsa,aɲi ŋoluwɛleya
136,person,ሰው,maːbə,ndə mili,ndə míli,ndə mili
137,dark yellow,ቢጫ,mə gaːʃá,ma gaːʃá,ma gaːʃá,bɛ ɪdʒɪgɛri
